Title;Link;Creator
Vitamin B1 (Thiamine) Deficiency Signs, Symptoms, and Treatment Benefits;https://www.youtube.com/watch?v=vppzm2NsIYo;Dr. Eric Berg DC
Research Reveals: This Repairs Nerve Damage;https://www.youtube.com/watch?v=8OSlBn6qRqs;Dr. Eric Berg DC
Vitamin B1 and SUGAR Experiment: WARNING;https://www.youtube.com/watch?v=xxdaLKfFD80;Dr. Eric Berg DC
Here's Why I Would Recommend Cod Liver Oil to Those with Thyroid Problems (Hypothyroidism);https://www.youtube.com/watch?v=h0vG6Emuhvs;Dr. Eric Berg DC
Why Use Cod Liver Oil for Eczema? Remedies for Eczema  Dr. Berg;https://www.youtube.com/watch?v=GNXIebMvPCU;Dr. Eric Berg DC
Cod Liver Oil vs. Fish Oil: Is there a Difference?;https://www.youtube.com/watch?v=A_COFYJNdxk;Dr. Eric Berg DC
Cod Liver Oil Benefits  Dr.Berg;https://www.youtube.com/watch?v=CqlqOSCZmkI;Dr. Eric Berg DC
Why You Need To Start Taking Cod Liver Oil Now - Dr. Berg Reveals The Surprising Truth;https://www.youtube.com/watch?v=yy0Ki7z8Czs;Dr. Eric Berg DC
The Best Foods, Smoothies, and Supplements for a Liver Cleanse Detox;https://www.youtube.com/watch?v=1KDv3TbOk60;Dr. Eric Berg DC
The #1 Best Meal for Liver Detoxification;https://www.youtube.com/watch?v=-vtMP3laIBc;Dr. Eric Berg DC
The BEST 7 Foods to Clean Out Your Liver;https://www.youtube.com/watch?v=Ri-soyOq_bU;Dr. Eric Berg DC
The MOST Important Fatty Liver Detox and Cleansing Antioxidant;https://www.youtube.com/watch?v=sHcaBqko2Vs;Dr. Eric Berg DC
DRINK 1 CUP PER DAY to Remove Fat from Your Liver - Dr. Berg;https://www.youtube.com/watch?v=4YcYAVAyk9E;Dr. Eric Berg DC
The BEST Foods to Clean Out Your Liver;https://www.youtube.com/watch?v=xcS9x01gB18;Dr. Eric Berg DC
Will a Liver Cleanse Help Cirrhosis and a Fatty Liver?  Dr.Berg;https://www.youtube.com/watch?v=MA1kTlrySaQ;Dr. Eric Berg DC
The BEST Drink for a Fatty Liver;https://www.youtube.com/watch?v=2iZygvHLLMI;Dr. Eric Berg DC
BEST Foods to Detox and Clean Out Your Liver;https://www.youtube.com/watch?v=lo77w0bP4Qs;Dr. Eric Berg DC
The Best Foods, Smoothies, and Supplements for a Liver Cleanse Detox;https://www.youtube.com/watch?v=1KDv3TbOk60;Dr. Eric Berg DC
The #1 Best Meal for Liver Detoxification;https://www.youtube.com/watch?v=-vtMP3laIBc;Dr. Eric Berg DC
The BEST 7 Foods to Clean Out Your Liver;https://www.youtube.com/watch?v=Ri-soyOq_bU;Dr. Eric Berg DC
The MOST Important Fatty Liver Detox and Cleansing Antioxidant;https://www.youtube.com/watch?v=sHcaBqko2Vs;Dr. Eric Berg DC
DRINK 1 CUP PER DAY to Remove Fat from Your Liver - Dr. Berg;https://www.youtube.com/watch?v=4YcYAVAyk9E;Dr. Eric Berg DC
The BEST Foods to Clean Out Your Liver;https://www.youtube.com/watch?v=xcS9x01gB18;Dr. Eric Berg DC
Will a Liver Cleanse Help Cirrhosis and a Fatty Liver?  Dr.Berg;https://www.youtube.com/watch?v=MA1kTlrySaQ;Dr. Eric Berg DC
The BEST Drink for a Fatty Liver;https://www.youtube.com/watch?v=2iZygvHLLMI;Dr. Eric Berg DC
BEST Foods to Detox and Clean Out Your Liver;https://www.youtube.com/watch?v=lo77w0bP4Qs;Dr. Eric Berg DC
