Title;Link;Creator
Doctor Explains: dissolvable stitches;https://www.youtube.com/watch?v=SBxm_2YHBnI;Doctor Myro
THIS is how you should react when your baby falls;https://www.youtube.com/watch?v=HrChyRfy1Ss;Doctor Myro
Dramatic Reaction to Propofol Anesthesia #shorts;https://www.youtube.com/watch?v=4wGQAEUWs8U;Doctor Myro
They say anesthesia brings out your truest personality;https://www.youtube.com/watch?v=fFLMyZvsNtc;Doctor Myro
Doctor Reacts: extreme throat ??;https://www.youtube.com/watch?v=Mc2DEGFM7sE;Doctor Myro
My account got reported?!;https://www.youtube.com/watch?v=K8br-SkMKP0;Doctor Myro
Why shopping carts could make you sick!;https://www.youtube.com/watch?v=Rliz2G59ccw;Doctor Myro
Why Q tips are NOT for cleaning ears;https://www.youtube.com/watch?v=-z7kO43lJZs;Doctor Myro
Flesh Eating Bacteria in an Oyster?;https://www.youtube.com/watch?v=qKyleOefAVA;Doctor Myro
Cardiac Anesthesiologist makes $700k?;https://www.youtube.com/watch?v=qlDSpClm4u8;Doctor Myro
Why sleep deprivation is DANGEROUS;https://www.youtube.com/watch?v=_pUgMZP4fXI;Doctor Myro
Narcan be like;https://www.youtube.com/watch?v=jUSulvGlkzo;Doctor Myro
Whats on her eye?!;https://www.youtube.com/watch?v=YqGmX3288sg;Doctor Myro
Doctor Explains: the medication that stops your heart ??;https://www.youtube.com/watch?v=Q9x4D7G_sPo;Doctor Myro
This dog is hungrier than it looks ??;https://www.youtube.com/watch?v=vtU-5U-mm64;Doctor Myro
Doctor Reacts to WILD abilities;https://www.youtube.com/watch?v=vn9ftjsSTpk;Doctor Myro
Why you should NEVER ignore a UTI;https://www.youtube.com/watch?v=eb4052A0Bac;Doctor Myro
Whats coming out of his nose?!;https://www.youtube.com/watch?v=k3gU4ibvAXw;Doctor Myro
Youll want to wash your hands after this video (With @FootDocDana);https://www.youtube.com/watch?v=_oC-zR7y0z4;Doctor Myro
Doctor Reacts: seizure in public?;https://www.youtube.com/watch?v=Lop8JjoztC4;Doctor Myro
Why I couldnt work in the ER #doctors #shorts and thank you to all that could!!!;https://www.youtube.com/watch?v=itBYENSIIQE;Doctor Myro
Doctor Reacts: lint rolling a sunburn?!;https://www.youtube.com/watch?v=Dab7N81L7cU;Doctor Myro
Doctor Explains: colonoscopy;https://www.youtube.com/watch?v=pGl-G-xN3_Q;Doctor Myro
Ozempic and Viagra?! - what do they have in common?;https://www.youtube.com/watch?v=38_04_Mjv3A;Doctor Myro
Doctor Reacts: amazing medical technology!;https://www.youtube.com/watch?v=5TDCaij8a0k;Doctor Myro
Doctor Reacts: spinal removal;https://www.youtube.com/watch?v=7Vg2l7EDBSo;Doctor Myro
Doctor Reacts: EpiPen fail;https://www.youtube.com/watch?v=Ib6q-Em1wdY;Doctor Myro
Why mosquitoes HATE body hair;https://www.youtube.com/watch?v=O-iA3B6bs0U;Doctor Myro
Doctor Reacts: popping a cyst;https://www.youtube.com/watch?v=xHYWMISYkcg;Doctor Myro
Doctor Reacts: allergic to shellfish?!;https://www.youtube.com/watch?v=TeODXZCJRsI;Doctor Myro
Chocolate Lowers the Risk of High Blood Pressure and Stroke?!;https://www.youtube.com/watch?v=PNP8OkXQ5Wc;Doctor Myro
Doctor Reacts: birthing demonstration;https://www.youtube.com/watch?v=IcZel5xUOJ0;Doctor Myro
Doctor Reacts: this replaces a heart?!;https://www.youtube.com/watch?v=NIixdM2dHsE;Doctor Myro
Why surgery is more intense than you think;https://www.youtube.com/watch?v=xracE6HSLi0;Doctor Myro
Iodine deficiency can cause this - Doctor Reacts;https://www.youtube.com/watch?v=ExI9Yxc2088;Doctor Myro
Undercooked meat can give you THIS?!;https://www.youtube.com/watch?v=4EPa3HHe6Ss;Doctor Myro
This is how hand transplants work;https://www.youtube.com/watch?v=5EsuFlMg9Q8;Doctor Myro
Doctor Reacts: weeding out medical students;https://www.youtube.com/watch?v=SJ48KkxvTYU;Doctor Myro
You wont believe what she said ??;https://www.youtube.com/watch?v=h-GnhMR5Ino;Doctor Myro
Why does food get stuck in your chest?;https://www.youtube.com/watch?v=_kf9WbOZgd4;Doctor Myro
Hilarious anesthesia reaction;https://www.youtube.com/watch?v=T1XXHUoSkpM;Doctor Myro
Why EpiPens are so expensive;https://www.youtube.com/watch?v=XQv7glXhs-s;Doctor Myro
Doctor Reacts: heart transplant survivor;https://www.youtube.com/watch?v=l-0HCQrhwnA;Doctor Myro
Whats in her eye?!;https://www.youtube.com/watch?v=SNnEdJQDmu4;Doctor Myro
NEVER do this in the car!;https://www.youtube.com/watch?v=2WbHi5zBs9g;Doctor Myro
Why you should NEVER use a massage gun on your neck!;https://www.youtube.com/watch?v=qQc2et1YdUs;Doctor Myro
Why anesthesia is a bigger deal than you think!;https://www.youtube.com/watch?v=K5WtGxCB-hU;Doctor Myro
That last hospital door before vacation #doctor #shorts;https://www.youtube.com/watch?v=ZR0o4UVRQuk;Doctor Myro
Hydrogen peroxide for wounds?;https://www.youtube.com/watch?v=DuVM3kvl46M;Doctor Myro
He helped her walk at 104 years old!!;https://www.youtube.com/watch?v=2ubmWLQxpMg;Doctor Myro
How do C-Sections REALLY work?;https://www.youtube.com/watch?v=TYdhFTVp6BA;Doctor Myro
Top 3 most stressed Doctors - by an Anesthesiologist;https://www.youtube.com/watch?v=dq0RR6ZMd10;Doctor Myro
399 year old woman?!;https://www.youtube.com/watch?v=z08MgS-P46U;Doctor Myro
Doctor Reacts: CRAZY tongue ability;https://www.youtube.com/watch?v=FQRQq7xwtP8;Doctor Myro
How laser eye surgery REALLY works;https://www.youtube.com/watch?v=H9MJe3-RR4w;Doctor Myro
How to chop onions without crying!;https://www.youtube.com/watch?v=qMLJS-GOdtQ;Doctor Myro
When you fall asleep first at the sleepover;https://www.youtube.com/watch?v=PRaqrXUvBmc;Doctor Myro
Ovulation increases testosterone?!;https://www.youtube.com/watch?v=jwmYHwlhLEs;Doctor Myro
What REALLY happens in a CT scan;https://www.youtube.com/watch?v=OZ4CtschmB4;Doctor Myro
We Doctors care about you, even with our own expense;https://www.youtube.com/watch?v=YGgrNnjWGZU;Doctor Myro
Youll never bite your nails again after seeing this!;https://www.youtube.com/watch?v=9DVaj78_C2E;Doctor Myro
Doctor Reacts: EXTREME cyst treatment;https://www.youtube.com/watch?v=KbquMqPupnc;Doctor Myro
When the needle goes in but doesnt come out ??;https://www.youtube.com/watch?v=GTv7TFw99Eo;Doctor Myro
Are enemas good for your health? Doctor Explains;https://www.youtube.com/watch?v=I0jNPVp1SDY;Doctor Myro
Doctor Reacts: unexpected child birth;https://www.youtube.com/watch?v=kMJ1UMmAQZI;Doctor Myro
Youll NEVER want this to happen;https://www.youtube.com/watch?v=80-P_SnBtEU;Doctor Myro
Seen a tire bubble before? It can unalive you;https://www.youtube.com/watch?v=AGty9qKLnbQ;Doctor Myro
Doctor Explains: how to insert a catheter;https://www.youtube.com/watch?v=j1Bbsn0QDAc;Doctor Myro
Should you REALLY be inhaling helium?;https://www.youtube.com/watch?v=xeiv7Il7k8s;Doctor Myro
What if you lie to your doctor? - Doctor Reacts to skit ??;https://www.youtube.com/watch?v=Kj1-9b4x0WQ;Doctor Myro
Do NOT treat wounds like this!;https://www.youtube.com/watch?v=ZJsHiKI3R9Q;Doctor Myro
Doctor Reacts: a life saving demonstration;https://www.youtube.com/watch?v=bQ7pWT1526E;Doctor Myro
Doctor Reacts: toe amputation?!;https://www.youtube.com/watch?v=KS28TKAwEtg;Doctor Myro
Does looking at the sun make you sneeze?!;https://www.youtube.com/watch?v=ezGt93CtvrQ;Doctor Myro
They said the craziest things under anesthesia!;https://www.youtube.com/watch?v=0Zesm3NNs2s;Doctor Myro
Will Artificial Intelligence take over for Doctors?;https://www.youtube.com/watch?v=G6n-EqXNVj8;Doctor Myro
Doctor Reacts: grapes in her nose?!;https://www.youtube.com/watch?v=4DpDDrMpM3k;Doctor Myro
Doctor Reacts: forced MRI;https://www.youtube.com/watch?v=wQHA8UQ8CaQ;Doctor Myro
She had the WORST day in the gym;https://www.youtube.com/watch?v=cpq-n5UmBSM;Doctor Myro
Doctors React: expired EpiPen (with @FootDocDana);https://www.youtube.com/watch?v=94wnFMyQ_XE;Doctor Myro
Anesthesiologist Reacts: awake for surgery?;https://www.youtube.com/watch?v=QqiyWgNkG2U;Doctor Myro
Doctor reacts to man still on anesthesia #funny #doctors #shorts #nurses;https://www.youtube.com/watch?v=GYWUimwcS2k;Doctor Myro
Doctor Reacts: whats in her mouth?!;https://www.youtube.com/watch?v=MrQaeUvk6dY;Doctor Myro
Doctor Reacts: ??in surgery?;https://www.youtube.com/watch?v=-UvGokvJq64;Doctor Myro
Is that what it looks like?!;https://www.youtube.com/watch?v=ItQ2Zeorqe8;Doctor Myro
He broke his Arm but still can play Banjo;https://www.youtube.com/watch?v=xCa4OAqI0_k;Doctor Myro
Doctor Reacts: popping a pimple;https://www.youtube.com/watch?v=eWD_ZZjNJTU;Doctor Myro
How a spine herniates;https://www.youtube.com/watch?v=tfRGFworBGY;Doctor Myro
Medical demonstration gone wrong;https://www.youtube.com/watch?v=oBE9bhOb0Uw;Doctor Myro
Doctor Reacts: cutest idea ever!;https://www.youtube.com/watch?v=Nz86R_vJQH8;Doctor Myro
Doctor Reacts: resuscitation fail;https://www.youtube.com/watch?v=hqoWpqlXSS0;Doctor Myro
How long do frozen foods last?;https://www.youtube.com/watch?v=um-jClG2RiY;Doctor Myro
What happens if you touch someone with HIV;https://www.youtube.com/watch?v=fAIzPAHowNU;Doctor Myro
Why fish pedicures are EXTREMELY dangerous;https://www.youtube.com/watch?v=cr_8W-cS6Fw;Doctor Myro
Why this is a BRUTAL job;https://www.youtube.com/watch?v=xacRF0l3yo4;Doctor Myro
Why fentanyl is SO dangerous;https://www.youtube.com/watch?v=7p6Ic5OIvVQ;Doctor Myro
Are you drinking enough water?;https://www.youtube.com/watch?v=yUgmE7qxJ7Q;Doctor Myro
Why do your legs fall asleep?;https://www.youtube.com/watch?v=Fi0nZRNgqHQ;Doctor Myro
Life Saving Procedure #shorts;https://www.youtube.com/watch?v=xtT8_VMdFlc;Doctor Myro
Why you should NEVER get this spa treatment;https://www.youtube.com/watch?v=v8-yIhFRHgQ;Doctor Myro
Doctor Reacts: advanced medical prosthetics;https://www.youtube.com/watch?v=JS-rHUgVauk;Doctor Myro
Whats in her mouth?!;https://www.youtube.com/watch?v=hF6_eppoPJQ;Doctor Myro
This household cleaner is DANGER!;https://www.youtube.com/watch?v=i0Bkpgn89jE;Doctor Myro
What smoking does to your lungs ??;https://www.youtube.com/watch?v=GqJMMXiw1Ew;Doctor Myro
