Title	Link	Creator	Transcript	Status
SulforaphaneÂs positive effects on brain health and autism | Jed Fahey	https://www.youtube.com/watch?v=nCKFRfm-6zA	FoundMyFitness Clips 	we inflammation and I mean obviously there suffering in the brain yeah so this is an area where we lot of our time now is is partnering on clinical trials that are looking at just that so it turns out that the neurologists and and those who have been studying the brain and diseases of the brain for a long time in I guess the fairly recent past have determined that inflammation is a huge component of a number of those conditions schizophrenia autism Alzheimer we can you know we can speculate as to how that inflammation has an effect as far as I in brain volume it inflammation but but markers of inflammation clearly are up in people with these conditions and can be reversed in some cases with with anti-inflammatory drugs and so people people have come to us recently with the question okay we know sulforaphane reduces inflammation you know can it possibly help with autism Alzheimer and and schizophrenia or the the three that we back up that one say that sulforaphane has many and isothiocyanates like it have many effects they do affect many pathways we talked about nrf2 I may have made it seem like that was you know the best thing since sliced bread and the only thing it also mentioned an Tobias selective antibiotics against Helicobacter what we haven that sulforaphane actually inhibits the NF kappa-b pathway which is one of the main inflammatory pathways in the body and so and there it to pathway and the NF kappa-b pathway so the inflammatory and cytoprotective pathway cell forming also sorry up regulates the the so called heat shock response and I these together in a second but but but there are a number of other pathways in which it another so with with all of these biochemical pathways that self or vein targets many of them seemed to come together in a few of the neuro neurodegenerative or neurodevelopmental diseases and so autism was really the first one that that I I guess I can say was put in our lap or came to our attention so dr. Andy Zimmerman a colleague at who was at the time at Harvard Medical School in the Mass General Hospital came to Paul Talalay back I don exactly when two thousand eight or nine or ten or somewhere in that range and Andy Zimmerman had shown previously this was published in 2007 that the fever the so-called fever response of children with autism was was real another he sort of codified it and and and got it and got it in print apparently psychiatrists and caregivers had been commenting and anecdotally for a long time that some of their their charges their kids are there they to who had autism when they got a fever they got they got better their symptoms reversed or relapsed so autism is characterized by a number of things including repetitive motions not making eye contact the social behavioral impairment if you will and so a lot of these characteristics got a lot better when kids had fevers and so back to dr. Zimmerman he knew that we and others had shown that sulforaphane was effective in up regulating the heat shock response and so his question to Paul was hey why don sulforaphane also helps autism because in half of the kids when they get a fever the fever the the symptoms go away or they they don rillette they they improve and that likely related to this heat shock response wouldn sulforaphane has an effect now as all of us got thinking about it there were there were clearly a number of other mechanisms by which the sulforaphane could be acting including reduction of inflammation and enhancement of the antioxidant enzymes clear you know more effective clearance of oxidative reactive oxygen and reactive nitrogen species I never thought about heat shock proteins putting a role in autism that very interesting I mean I quote neurodegenerative diseases for sure but and this was an interesting connection he was making that I wouldn but I see I can see how he yes so paper is 2007 currents you are are a and as the first author will get you a copy so so yeah it fascinating potential connection and so that was that was sort of that was what got the collaboration started so we supplied broccoli sprout extract and and they up in in Boston looked at I guess it was about 44 subjects all men all young men boys men as you probably know autism is about four to one male to female in terms of its incidents in this country anyway and less than or more than one and a hundred kids now are born with autism so it problem I don about why it because they on autism among other things oh really but we we did this trial it was published in 2014 we for various reasons biomarkers of inflammation of the nrf2 pathway and a heat shock response were not evaluated in blood from those subjects but what we showed was rather dramatic reduction in many of the symptoms of autism in about half of the subjects compared to placebos those who were given placebo instead of broccoli sprout extract in which there was no detectable change I think it was like a 37% yeah it was very very robust for a small amount it was dramatic they were right that n was small the number of subjects was small but it was a dramatic improvement I am so sad that we never got the biomarker data from the subjects although theoretically it result of that trial a lot of people got interested in the possibilities and so dr. Zimmerman and his team including including the Coleman chemo Protection Centre here have a follow up grant from the Department of Defense to study a younger cohort male and female boys and girls about 50 subjects but a similar trial design and it is going to be but it is biomarker rich so we done a pilot study with 10 subjects in which we evaluated we refined our ability to collect samples and to process the biomarker samples will be we were collecting blood from all of them and this is a trial design where half of them half of the subjects are getting actually a v the supplements the dietary supplements the one with with glucoraphanin and my Ronnie half of them are getting a placebo for I think it the same amount of time as we gave subjects in the previous trial biomarker rich there and then everybody goes on a bra the the sulforaphane product the AB McCall for another 15 weeks we i she here at Hopkins she and I were just up in Worcester Massachusetts the team is now at UMass Medical Center in Worcester Massachusetts there they about 1/3 of the subjects so we a third of the way through completing the trial and we obviously about about what we may find and about getting to the task of processing these biomarkers very exciting and what was a dose difference from the first trial the first trial the dose of well it but if you bear with me the first trial delivered sulforaphane rich broccoli sprout extract okay remember that bioavailable okay those trials delivering glucoraphanin plus myrosinase it the same amount as the previous trial so the between a hundred and 150 micro moles per subject per day is there a reason why you response or doing trying higher doses as well to see if there was a more robust effect the next trial will okay so that is that in yeah yeah so I mean look after a tile like this especially one where we were not able to publish biomarker results there are many people saying wow that really interesting but it repeated so we and others are trying to repeat it just essentially as closely as possible to the way it was designed right yeah it does make sense and it unfortunate if these trials weren damned expensive I mean try all it very very exciting it but it intensive and and it also you know you desires and tears of a lot of people involved these are these are conditions that that you know that that hurt to see people going through and so to do a whole bunch of trials with a whole bunch of conditions might also make the people who are suffering from these conditions really think that you know this is that that we already have the answer this is why I prevention trials that are being done you know people people get on their high horse and that don talking about I think you know again one of the most frequently heard things for me is Oh John Hopkins say this this cures cancer I mean I things not just certainly not just our work it ain same thing with autism that if we if I guess if it were cheap and easy to do and nobody cared about the subjects involved there lot of them would be lousy trials and you know a lot of people would have their hopes raised only to maybe 10 or 15 years down the road find out that yeah those trials weren that well so all the oversight all of the the self-criticism and the peer criticism is probably worth it because I think I think it does serve a purpose anyway back to the story enough philosophizing so so we have this follow-up trial underway interestingly there are four other for additional autism trials all using AB McCall and and this is you know if it doesn I something that that looked like it was the best of what was out there and I got available for people right now it available we know that it that it produces sulforaphane and we know that it through all sorts of Quality Assurance but so you know when when people who came to us and said we would like to do an autism trial would like to model it after Andy try to replicate the findings we want more of that sulforaphane that you produced for it and my answer has had to be I don you as my witness I freezer and show you that we don any more in our clinical freezer so we more and so we had to suggest that people switch to something to something commercial so for other studies one of them has finished its patient accruals that UCSF and we of evaluating biomarkers and they they biomarker so they molecules produced by the various metabolic pathways that are either induced or up regulated or not and hoped to be able to make some correlations with symptom reduction and biochemistry there is a trial just starting at University of North Carolina there is a trial at Rutgers that not sure how far along they are pretty far along I think and theirs and all three of those trials are about the same order of magnitude as our original trial thirty twenty twenty to fifty patients or subject the the other trial is in China and there are I this wrong they subjects and that study drug or supplement is there and this is this is at an autism a school for autistic kids in Changsha China and you can you can read the descriptions of most of these trials I think all of them on clinical trials.gov which is the government trials so again all these studies are looking at biomarkers of inflammation as you say il-6 as one of the key markers that people are looking at cox-2 tnf-alpha the supposition is that those markers are going to go down the supposition is that markers of nrf2 activation are going to go up and heat shock protein markers are going to go up we in people that don are given sulforaphane at least I guess it has been shown yeah the heat shock protein that really caught my attention I came across it when I was reading about sulforaphane and how it can be neuroprotective for Alzheimer Huntington diseases of protein aggregation of which heat shock proteins play a major role in repairing you know and preventing both they do both so I was very surprised I guess not that it wasn found out that so for a faint activates because it is a stress response pathway heat shock proteins do respond to stress like heat stress so I guess I wasn that shocked but I was I was a little surprised first to see that it plays a role and possibly that prevent and protect against some of these neurodegenerative diseases it very possible yeah yeah you	Success
Jed Fahey discusses the longevity compound Sulforaphane	https://www.youtube.com/watch?v=f6_Y-MXweaQ	FoundMyFitness Clips 	so there are collections of people who age of a hundred and more aren beautiful cohort to look at the nrf2 induced genes in and I surprised if this hasn already we and I know we in animals but doing precisely as you suggest you know that here cohort of very old people who are quite healthy do they have something you know everybody wants to know is there something magic about that but are the nrf2 inducible cytoprotective genes part of that equation and we suspect that they might be the the the the prolonged lifespan experiments will pretty much have to be done in mice and again there colleague that I know we the Institute of Aging who was interested in doing that I that ever does that ever happened we I had a I had a high school student who wanted to do a project here yeah number of years ago and we got her working on nematodes senior Abdus which is a which is a common experimental vehicle for those interested in looking at lifespan because its life span is so short and it cycles quickly well we ought to get together and do this experiment again if it hasn problems with so forth in research nowadays is I can no one can really keep up with it all because there are two or three papers a week coming out on sulforaphane and quite a few more on the nrf2 pathway I mean if you try to be be a renaissance person and know all the literature in this field it there are thousands or I think a couple of thousands of papers a year on nrf2 C so it them on it and it someone has done those lifespan experiments will see elegans again we we started we only we didn muscle in it we had high school student who then had to go back to I didn urge her by the way I look for sale yes I don I wasn preliminary data from that student we also had I binder it may not still be here we we had a colleague who was who was a bona fide expert on C elegans who was going to do some studies and I that ever happened or if those were ever published so yeah sorry I mean I wish I wish I could jump up and down it me I mean we about you know how how sulforaphane it is as you mentioned the most potent dietary that we know of activator of the nrfu system and knowing what we know we do know that nrf2 does play a role in delaying aging and brain aging in you know tissue aging you know there there inflammation and reducing oxidative stress these things cause aging right many people seem to think that by understanding a bit more about how we can reverse this phenotype in people with acute aging that this may also be applicable to normal aging and to perhaps slowing down normal aging it turns out that all of us have some small amount of pro jaren this this protein in our systems and i believe the evidence is that it increases somewhat as we age not certainly to the acute levels that you find in kids with progeria so so we since we got our grant there interesting and I think quite important publication from Thomas Telly the NIH showing that in fact nrf2 is very intimately related to this / to this process in progeria and that what happens is that projet are in the sticky protein that i told you on the inside of the nucleus actually binds nrf2 as it enters the nucleus to do its signalling thing and and it it gloves it up against the inside of the nucleus so to speak so that perhaps one that among the chores of sulforaphane are among the functions of sulforaphane are to increase the amount of nrf2 that but it may also enhance clearance of mutant proteins and and even pro jaren from from the nucleus so there amount that we don an exciting it like even just the the mutant perjuring would seems like it two from being activated and that you know essentially it and you know so that part of the pro aging effect as well yeah so yeah it I was reading somewhere maybe you can confirm this that so sulforaphane you know does increase the activity of nra up to like nrf2 i think it something like sixty percent like enter up to you know is activated every 180 minutes or something like that and so for feign bumps that up you know a sixty percent increase and it being activated so i don yeah i can but but i mean it for sure correct yes so that and that for me what I want another question question it it up regulates its production so if you look at RNA levels for nrf2 or for keep one it cytoplasm after treatment with sulforaphane you see those those levels going up so sixty percent but I think that was a translocation in the nucleus yeah that was the increase it was okay okay yeah I unfortunately I can comment on that just don right I you	Success
Importance of myrosinase in supplements for the conversion of glucoraphanin to sulforaphane	https://www.youtube.com/watch?v=73ddddTuN5M	FoundMyFitness Clips 	so a couple of years ago I went to a small number of supplement companies and said help and challenge them to take the supplements that they were making that we had tested and verified were contained what they said they had and to offer to supply them for clinical trials that that we were approached about about partnering on and not only to supply the material free of charge but to supply all the documentation and paperwork that would go along with an application to an institutional review board or to the FDA in fact for an investigational new drug application for permission to work on that disease with that compound and a few companies did come forward one of them called nutramax and and they have a product called AB McCall which they sort of took a page from our playbook and they they make something with gluco rafen n actually been used in a number look quite a large number of clinical trials now and so I don people of course I don anything ready to be published yet but those publications will be coming along very short and and that actually does contain the glucoraphanin myrosinase and you validated that yes we would certainly not recommend something to anybody without checking it and we checked every batch that that they put on the market and because we don want to be in a position I don have egg on my face and recommend it to a friend that this is a product worth using and then and then have it turn out to be a dud so you mentioned this wilfer frame one which is the the prostate the AB AB McCall which has the glue carafe and plus some arrows anaise and then there glucoraphanin I think you mentioned it was by thorne they competent that have a decent that I shouldn they this on our webinar they be ten companies that say I we we a medium or large size supplement maker and their product is called crew sera SGS but that only has glucoraphanin and right and this actually kind of brings me back to I kind of want to get back to this and that is the the microbiome and so you know if you supplement that only has group glucoraphanin and does not have the Myra sanae on what you possibly potentially have in a species of bacteria and the gut which may be you can illuminate what that species of bacteria is or if there ways we can increase it probiotics obviously wiping out the gut bacteria so people with you know chronic antibiotic use may not be able to convert Luca rafen in very well to sulforaphane I would presume right you must have read one of our papers so so in fact we did we did show that this was this a number of years ago now we showed that if volunteers took a fleet anima self-administered anima which which reduces the number of bacteria in there certainly in their large intestine by I don magnitude and took a preoperative antibiotic course in other words something that one would take prior to having intestinal surgery they essentially wiped out most of the bacteria in their intestines and those people went from whatever their level of conversion of glucose even to self for a vein and its metabolites was which was as you heard earlier ten to 70 percent yeah to nothing so they they lost their ability to to convert glucan and to sulforaphane and then over the course of a couple of weeks I think we as I recall we followed them we one or two subsequent challenges with glue carafe and in two weeks and four weeks later I think they gradually regained their ability to to do that reaction clearly residual bacteria or new colonizers in their guts had myrosinase activity so we have net we people and nobody can everybody that appears to have myrosinase producing bacteria in their gut but as we said earlier obviously it levels just as clearly although we don do bacterial sequencing here and this is a this is a new and very exciting field that the field of microbiome the microbiome but it there are certain strains or certain species of bacteria that do have myrosinase activity others have shown that there are believed one of them is in enteric aqus there are lactobacilli that have myrosinase activity there are bifida bacteria my believe that habit and i again this is not my this is not my field of expertise so i may have misspoken okay the bottom but the bottom line is that there are a number of species of bacteria that do this but not all certainly not all bacteria in your gut this whole incredibly fascinating field of the microbiome has has certainly shown that each of us has very has different populations and different ratios of different types of bacteria in our guts and certainly to the degree that this is true that the amount of myrosinase activity in our guts i can tell you that we haven studies with with mice in which we challenged them with with glue carafe onon on a regular basis over time and we the goal was to try to push them by natural selection to try to push them for her to have more bacteria with myrosinase with more myrosinase activity the fact that we haven means we didn enough or reproducibly enough to have a good story to tell but certainly that what we believe might happen having said that when we look at real people and we query them as to their habits there evidence to date that people who say they eat you know a pound of broccoli a day that exaggeration but people we whole lotta broccoli don or a fan and better than people who don some other selective pressure on the gut on myrosinase containing bacteria yeah I would think that even just eating a healthy diet in general when you eating a diet high and in vegetables and fermentable fibers and things that are growing bifida bacteria and lactobacillus and you know all these in these species of bacteria that are commensal bacteria that even that itself would potentially then you know increase your chances of being able to have more myrosinase because you this you know commensal microbial backed by own but I guess we don you know we don our hunch both of our hunches are correct but the proof is the proof is in the pudding this this whole issue of probiotics yes my next question that would be interesting well it fascinating you know in Europe there there is a lot I think the regulatory climate in Europe for probiotics is a bit more receptive than in the u.s. you may you probably know more about it than I do but I know that in the that the use of probiotics is is seems to be increasing in the US and studies by those who are expert in the field of probiotics are are mixed right I mean well it same case as the glucoraphanin sulforaphane supplements a lot of the probiotics on the market there of dead bacteria garbage a lot of garbage I mean this is ubiquitous in all supplement you know it there was even a study showing something like 70% of like a lot of these supplements on the market are not actually what they say they are they don so but yeah I think that the there is a lot of mix data and and that comes down to not not having quality probiotics and also been numbers that too low numbers live as 10 billion yeah that dropping the pool it move the needle so but there are there is a probiotic out there that I at least two dozen publications including clinical trials and humans and then there studies and animals using BSL number three it their sachets and they have 450 billion probiotics per session and they have a mixture of lactobacillus and and little bacteria and some other ones but showing efficacy and treating IBS you know Crohn you can find quality probiotics but it just again it you right one absolutely I think you know the the issue the issue of the numbers of cells I mean bit to it to a non-scientist consumer billions sounds like a huge number oh yeah it is but it bacteria on a on a pinhead probably well maybe a teaspoon anyway the the issue there though is a lot of the issue is survival so if you if you boast about having billions of bacterial cells of a certain type in yogurt for example and you are not on proton not on proton pump inhibitors so you have an acid stomach and you send that yogurt through your stomach how much of those back how many of those bacteria actually make it through the acid environment of the stomach so I mean people studied that certainly but there are studies as you say with with a small number of specific strains showing showing effects I think some of the more some of the more striking effects have to do with childhood diarrhea and and there even studies showing effects on asthma so I mean excel brain it uncredible yeah yeah yeah so I absolutely a believer that what goes on and they got matters to the rest of the body there think as you say a lot of the studies suffer from the fact that what given probably isn expected to be efficacious anyway because it just died or didn but speaking of probiotics wouldn be cool if someone came up with a myrosinase containing strain and put it in a probiotic formulation so that you could take that along with you cruciferous vegetables all like and it good I believe that there are companies that are working on that now because certainly it strains of bacteria have myrosinase activity there may be issues of getting that activity maintained you know when you when you grow up that bacteria to freeze-dry them to put them in a formulation but I I hope it a matter of time before we see formulations that contain myrosinase and that are safe I mean obviously safety of these probiotic formulations is something that is a concern to the regulators and it should be so we we there but I hope we you	Success
Considerations for choosing sulforaphane / glucoraphanin supplements | Jed Fahey	https://www.youtube.com/watch?v=_J0_6EG-SSQ	FoundMyFitness Clips 	and in fact there are now companies that are selling glue carafe and and plus myrosinase you have to be careful if you buy those supplements because it given that they as you know multivitamins and things that you can just leave on the shelf for years and and so so you need to pay attention to the expiration dates on those products that have live active enzyme most I business but I familiar with it most supplement makers it appears don has to be refrigerated or put in a freezer I think it increases their cost and so most of the supplements that I aware of are made to be shelf stable but I I think it won supplement that has active myrosinase or that says they have active myocytes I think it wouldn refrigerator treat them as you would treat a probiotic supplement and you actually measured the content of glucoraphanin and/or sulforaphane and some of these supplements that are found on the market that correct we we have we found that there amount of supplements that actually contain what they say they contain yeah I think one of them you mentioned was a French company that has actually has sulfur fame in it procced of fame yes so I I think it was someone in the industry that told me this that there are something like a thousand supplements that claim to have broccoli sprouts or broccoli extracts in them that are on the market now I certainly it would you know it would take me all of my waking hours to try to vet that statement and and validate the content of each of them but in our lab we have looked at a number of supplements some of those that are more more prominent or that you see advertised or some of those that we just we people that have asked us about them and many of them you know 20 years ago there were a bunch of supplements that said they they you know have sulforaphane and sulforaphane cures cancer because John Hopkins says so this is highly inaccurate and they should have been taken to court but you can make statements like that nobody has shown that any of these supplements prevent cancer or cure cancer we certainly hope to be part of the group of scientists who are able to put some teeth behind that evidence and eventually I think one day it will it may be shown that in people cancer can be prevented by by taking something like sulforaphane but that has not been proven to date so anyway we to get back to your question we have looked at a variety of supplements 20 years ago when they started coming out there were many supplements that we could demonstrate we were not even broccoli sprout or broccoli had no broccoli in them yet they said they were broccoli supplements people were selling what they called broccoli seeds and when you actually grew them out and grew plants from them you grew cauliflower or you grew canola or rapeseed from them or something else or in some more egregious cases we found stuff that was sold as broccoli seeds that that was really alfalfa seeds so there were a lot of liberties were taken a lot of shysters were on the market I think that now there are a ton and I you know as I say I was told a thousand but many many many supplements that say they have sulforaphane or gluco rafa and in them we have analyzed a small number of them those that are made by labs or companies that you know we things about that haven challenged by the FDA for for sanitation problems or for labeling miss labeling and there are supplements that contain gluco Raffin and alone there are a few now that contain glue carafe and and plus myrosinase and there are a few that contain sulforaphane right we are we should be out in the next week or two a paper in which we actually looked at the bioavailability of sulforaphane from a French supplement that is it called prostate it was there have been a there that looked at its ability to change the the PSA trajectory in in men with prostate who have had prostate cancer and that biomarker for prostate cancer return right and so those tablets they they refrigerated to prolong the life of the sulforaphane in them the bioavailability of the sulforaphane from those tablets was essentially identical to that from powders that we made in the lab by extracting broccoli sprouts and treating him with marcin ace and freeze drying the method so we were we were delighted to see that that that they worked yeah yeah unfortunately they being sold in the US i I hope that one of the supplement companies can I hope that somehow or another business the business of supplements gets them to this country you	Success
NRF2 pathway as the mechanism behind sulforaphaneÂs protective effects | Jed Fahey	https://www.youtube.com/watch?v=IoKGcsRH0Mg	FoundMyFitness Clips 	one of the main protective mechanisms would be the nrf2 pathway yeah so I I have a feeling that sulforaphane would be just another interesting phytochemical if at almost the same time we and I use the term we loosely because I was only very peripherally involved with this but a number of people at Johns Hopkins and in Japan discovered and in Japan and England I should say but a small number of people discovered this nrf2 pathway and really fleshed out all the details of it and this happened in parallel to the interest in sulforaphane and broccoli and it turns out that the nrf2 pathway is an extremely important pathway for up regulating the protective enzymes and protective proteins including perhaps the heat shock proteins in cells so that they can protect themselves against various insults it protection against a variety of chronic diseases and as I say Tom canceller Paul Talalay al-banna denkova Kostova all at Hopkins masya mimoto and Japan John Hayes in England excuse me and I a few people but small number of people initially put this pathway on the map and it turns out that the nrf2 pathway controls something between 3 and 5 percent of our cellular proteins so it very important Wow yeah and and you know why is it important it recognizes molecules like sulforaphane through a system of biochemical system that I hesitate to to explain without props and graph and also because I the world it recognizes sulforaphane or other similar molecules as they enter cells in the cytoplasm of the cells then there there is actually a chaperone Pro team that keep one that molecule when it binds to solve for a fan or vice-versa changes in conformation and it releases nrf2 which then migrates to the nucleus and turns on or up regulates the antioxidant response element which is responsible for for the transcription for initiating transcription of a whole series of of protective genes or genes encoding for a bunch of protective enzymes so it and this happens very quickly this this protective response and it efficient so to get back to sulforaphane sulforaphane was discovered and then everybody started searching for the mechanism by which it acted and rf2 the end the keep one in our f2 mechanism was discovered and they sort of both developed a following if you will in parallel and it turns out that sulforaphane is still probably the most potent activator of nrf2 to be found naturally and you know from from the natural world there have been synthetic activators that are more potent that that have been been produced been made chemically but sulforaphane still sort of takes the takes the cake in terms of its protective ability and ability to upregulate protective enzymes you	Success
Introduction to sulforaphane and its precursor glucoraphanin | Jed Fahey	https://www.youtube.com/watch?v=K5I9UiPCheY	FoundMyFitness Clips 	sulforaphane is a small molecule that was discovered in broccoli by Paul Talalay and you sh and Zhang his student at the time in 1992 or so they published on it and it was it was of interest in particular because it was a huge inducer of protective enzymes in in people of course it wasn occurred in people at the time but in cell cultures and in animals they showed that it up regulated the protective enzyme cytoprotective enzyme system known by some as the phase 2 enzyme system and Paul then who is one of the grandfather has it really helped make people stand up and pay attention to the fact that you could potentially prevent diseases like cancer Paul asked me to join the group in 1993 and the challenge was can can you get broccoli with with more sulforaphane I came from a background in plant biotechnology and of course I said yes we should be able to and we started trying to trying to breed and cross broccolis to get to get higher levels of sulphur pain quickly became obvious that it was very difficult to predict how much sulforaphane a broccoli plant would have based on things like smell touch color and you pretty much had to run it through an HPLC to measure levels of sulforaphane what that sulforaphane is not what in the intact plant so what the plant is something called glue carafe Ihnen and that is a thio glucose conjugated molecule not to get too heavily into the biochemistry of it but it and it not at all stable it and so at any rate it turned out that the the intact broccoli plants had a Lucca rafen in various levels ranged all over the map couldn out exactly how much one had without doing chemical analyses and we were going out to the field in the Eastern Shore of Maryland and eventually winter came along and we couldn shore to the fields and get broccoli anymore so we started growing them in incubators in the lab starting from seeds and lo and behold it turns out that broccoli sprouts had much higher levels of sulfur of the precursor of sulforaphane glue carafe and then did the the mature plants the the heads of broccoli that you buy in the market so we then determined that if you grow broccoli sprouts all the same way which you pretty much do if you sprouter or a commercial sprouter you add a certain amount of light you add fresh water you grown for a certain amount of time at a certain temperature so if you did that with a whole slew of different cultivars that sub varieties of broccoli you got a range of different activities different amounts of glucagon anyway bottom line is by selecting the appropriate genotypes the appropriate broccoli genetics if you will we identified some varieties that had very high levels of glucose often and we made a paul and i made a conscious decision at that time that we were going to promote the use of broccoli sprouts not broccoli seeds because it turns out the seeds have the highest amount on a per gram basis of glue carafe odden but at the time no one had eaten broccoli seeds you know they weren of cachet or the appearance of you know eating healthy green vegetables so we focused on sprouts which had much higher levels than the mature plants although lower levels in the seeds and it turns out that then there is an enzyme that the plant tissue contains called myrosinase and that enzyme converts glucose and in the precursor which is stored in vacuoles in the plant cells to sulforaphane and typically in nature the plant does that as a protective mechanism if an insect starts chewing on the leaf of a broccoli plant for example it breaks open cells right and so those cells then release their glucomannan and the enzyme that site hydrolyzes glucoraphanin and form sulforaphane and so for a feign repels those bugs or is in some cases toxic to those bugs so they go bad and they fly away or they crawl away but it turns out that sulforaphane is also a foreign a foreign compound for our cells but in the process of being recognized and chucked out of the cell if you will it up regulates the protective enzymes in those cells and so that special like automatic effect a hormetic effect yeah yeah so clearly you could you could if you if all you ate would sell for a fan you you the same you know the same with just about anything you can you can suggest so it protective mechanisms of the cells you	Success
Sulforaphane supplements vs. broccoli sprouting | Rhonda Patrick	https://www.youtube.com/watch?v=yqgYzgQVqyA	FoundMyFitness Clips 	I sulforaphane I know that you know here gosh wet it when you first started doing videos and posts about the benefits of sprouting broccoli seeds and this miracle compound call sulforaphane and where are you now with all that I about it sulfur fame is it formed from a precursor called glucoraphanin and glucoraphanin is found in a variety of what are called cruciferous vegetables things like broccoli brussel sprouts cabbage daikon you know watercress all these things cauliflower these things are all from a cruciferous family of vegetables so gluco rafen is the precursor to it when the plant tissue is you know crushed to torn apart it activates an enzyme called myrosinase which turns glucoraphanin into sulfur fame so fer fame has about 70% bioavailability if you orally ingest it the precursor glucoraphanin only has about 10% bioavailability to be converted into sulfur f---ing so there been tons and tons of intervention trials where people are given either a broccoli sprout broccoli sprouts by the way have about up to hundred hundred times more of the precursor to sulforaphane called glucagon then the mature broccoli plant which is kind of why I sprouts because that can eating so many of them I was eating like tops of those a day and they don good and I them I just I had to go to the supplements yeah well so here thing the supplements so there there have been you know scientifically validated to really have what they say they have so for free and not is not a very stable molecule it and it know in a supplement form there two supplements that are really I would say have been clinically validated and but have been used in randomized controlled trials that have been pure you know peer-reviewed and published one is I way I have no affiliation with any of these supplements or sample but companies at all you don have any yeah it have any affiliation with any something I don that because people don no I don neither do I yeah good to mention I been taking you know there supplements one I think AB McCall has around three point five milligrams of sulfur refrain in each tablet and the recommended dose on their bottle is two tablet so that would be about seven milligrams of silver Fang the other supplement is called prostate Pross the fame is unfortunately not available in the US I shouldn say that yeah it because sulfur vein is so unstable like the company just didn with like the whole shipping it to another country and all that and dealing with all that right but you can buy like I buy pasta fain there pharmacies you can have it shipped shipped to you oh really yeah like I arriving arriving tomorrow also even you stopped with the broccoli so each processor vein tablet has around 10 milligrams of silver in it there are trade offs you know verse you know for doing broccoli sprouts or vs. supplements I would say first and foremost the supplements are expensive prostitution is really expensive they like fifty fifty dollars a Packer something like ninety something dollars for a pack of sixty for reprocessing it has how are you taking a day one 60 day supply we each one has ten milligrams in Episode four a fan and I get to that dose babe maybe I should talk about some of the clinical I mean there have been really exciting in the past couple years cool yeah please do let me just finish with the sprouts they cheaper and you get a ton of sulfur so like 400 grams of fresh sprouts use something around like 40 milligrams of sulfur refrain you know can be bio you know basically you can get something around 40 milligrams of sulfur that lot right for a lot cheaper now the trade-off is its pain you have to like work right have to make them I mean they there very they can easily be contaminated and I and it kind of gives you some you know it there you should bleach the seeds first and then and I don comfortable bleaching the season do it I just don that been doing the processing for one simple reason I running found my fitness and trying to do all this research and stuff and and also trying to like exercise and there just I just this too much you know this is too much for me so I found it easier for me to take the prostitutes implement I would like to get back to the sprouts and I will probably mix that up again but for now I way that seriously am i keeping my fridge looked like a little mini farm like it was like Farmville up my fridge it was like there was sprouts everywhere and yeah some of them are going bad like me and I was freezing some of them and yeah you	Success
How freezing and freeze drying affects myrosinase in broccoli sprouts | Jed Fahey	https://www.youtube.com/watch?v=-PqziTSrKaU	FoundMyFitness Clips 	[Jed]: Well, if you eat fresh sprouts, they Oh, you mentioned that your freeze broccoli\\nsprouts. [Rhonda]: I wanted to ask you about that. [Jed]: So as you freeze them, this is interesting,\\nyou freeze them, you take them out of the freezer. If you put them in a blender and make a smoothie\\nright away, then the myrosinase is going to act in that liquid, and so you If you let those sprouts thaw out, there They So, by the time you see that juice and either\\npour it off, or pour it in your container, probably most of the myrosinase activity has\\noccurred and sulforaphane has probably started to bind to proteins and macromolecules in\\nthat vegetable mess. And because what happens is when you freeze\\nthe plant tissue, when you thaw the plant tissue, I guess, you So the lignin, the structure on the outside\\nof the plant cells is still there, but the cells are trashed. [Rhonda]: Is that why freezing increases sulforaphane,\\nit [Jed]: Well, ice crystals are forming, yeah,\\nit allows the enzyme and the substrate to come into contact, form sulforaphane. So it throw it in the blender right way, which is\\nprobably what you do. But it We have a freeze dryer. We have a beautiful freeze dryer that we were\\nactually given by a Japanese sprout company as sort of thanks for what we sprouts. And this freeze dryer has trays. And you can put, say, five pounds of sprouts\\non the trays. But what you have to do is you have to freeze\\nthe sprouts first and then put them in the freeze dryer, pull a vacuum, and it winds\\nup pulling off all the moisture. If you stick the trays in a freezer and freeze\\nthem and then move them into the freeze dryer, basically what you a vacuum. And when we looked at those freeze-dried sprouts,\\nthey had no glucoraphanin, and no myrosinase, and no sulforaphane to speak of because it\\nhad all reacted and then it was just a mess. So there is value in thinking a little bit\\nabout how that enzyme behaves before your start making a thing. You can actually freeze dry broccoli sprouts\\nvery nicely as long as you deep freeze them, or quick freeze them and maintain them in\\na frozen state when you go to dry them. [Rhonda]: And that will retain the sulforaphane. The myrosinase. [Jed]: The myrosinase is not coming in contact\\nwith the glucosinolate then. [Rhonda]: Okay.	Success
