Title;Link;Creator
Sulforaphanes positive effects on brain health and autism | Jed Fahey;https://www.youtube.com/watch?v=nCKFRfm-6zA;FoundMyFitness Clips 
Jed Fahey discusses the longevity compound Sulforaphane;https://www.youtube.com/watch?v=f6_Y-MXweaQ;FoundMyFitness Clips 
Importance of myrosinase in supplements for the conversion of glucoraphanin to sulforaphane;https://www.youtube.com/watch?v=73ddddTuN5M;FoundMyFitness Clips 
Considerations for choosing sulforaphane / glucoraphanin supplements | Jed Fahey;https://www.youtube.com/watch?v=_J0_6EG-SSQ;FoundMyFitness Clips 
NRF2 pathway as the mechanism behind sulforaphanes protective effects | Jed Fahey;https://www.youtube.com/watch?v=IoKGcsRH0Mg;FoundMyFitness Clips 
Introduction to sulforaphane and its precursor glucoraphanin | Jed Fahey;https://www.youtube.com/watch?v=K5I9UiPCheY;FoundMyFitness Clips 
Sulforaphane supplements vs. broccoli sprouting | Rhonda Patrick;https://www.youtube.com/watch?v=yqgYzgQVqyA;FoundMyFitness Clips 
How freezing and freeze drying affects myrosinase in broccoli sprouts | Jed Fahey;https://www.youtube.com/watch?v=-PqziTSrKaU;FoundMyFitness Clips 
Broccoli sprouts as an unconventional treatment for H. Pylori (gastric ulcer-associated bacteria);https://www.youtube.com/watch?v=oDbPfIwkmsA;FoundMyFitness Clips 
Stability and heat sensitivity of myrosinase enzyme in cruciferous vegetables | Jed Fahey;https://www.youtube.com/watch?v=bLpXGh3Dip8;FoundMyFitness Clips 
Seeds of cruciferous plants contain the highest levels of isothiocyanate precursors | Jed Fahey;https://www.youtube.com/watch?v=F8GJhzYeHC4;FoundMyFitness Clips 
What is the optimal source and dose of sulforaphane? | Jed Fahey;https://www.youtube.com/watch?v=NNmjfTQRK2g;FoundMyFitness Clips 
How does one identify a good source of broccoli seeds? | Jed Fahey;https://www.youtube.com/watch?v=WtJZmS_CeB4;FoundMyFitness Clips 
Is sulforaphane present in all cruciferous vegetables? | Jed Fahey;https://www.youtube.com/watch?v=6OdZgvEKKrw;FoundMyFitness Clips 
