Title;Link;Creator
Happiness Lessons of The Ancients: Yoga of the Mind | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=DZQLEvnUEJs;Dr. Laurie Santos 
Happiness Lessons of The Ancients: The Trauma of Troy | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=6NXJnhICDoA;Dr. Laurie Santos 
Happiness Lessons of The Ancients: The Anger of Achilles | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=b57vXbg42bc;Dr. Laurie Santos 
Happiness Lessons of The Ancients: Aristotle and Plato ICYMI | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=LC8Rhiwa-jg;Dr. Laurie Santos 
Happiness Lessons of The Ancients: Socrates & Self-Knowledge | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=0zOJrLTgl_8;Dr. Laurie Santos 
The Happiness of Silence | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=g2nqqTXtK2k;Dr. Laurie Santos 
"Stop Looking For the Perfect Job, A ""Good Enough Job"" Is Just Fine | The Happiness Lab";https://www.youtube.com/watch?v=faD8QZYzOv4;Dr. Laurie Santos 
A Daily Workout to Tackle Nagging Self-Criticism | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=oOonJAZ_Vg4;Dr. Laurie Santos 
How to Eat Intuitively in 2023 | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=pky0bHq8uyo;Dr. Laurie Santos 
Stop Endlessly Chasing the Next Big Thing in 2023 | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=SPlnmodEn30;Dr. Laurie Santos 
Giving Tuesday: Why Giving Money to Others Makes us Happier | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=x_1cObNWjmc;Dr. Laurie Santos 
Happier Parents, Happier Kids Pt. 2: Letting Children Try & Fail | The Happiness Lab | Laurie Santos;https://www.youtube.com/watch?v=pLWT4WQ3e_s;Dr. Laurie Santos 
Happier Parents, Happier Kids Pt. 1: Your Child Isnt a VIP or a Fragile Vase | The Happiness Lab;https://www.youtube.com/watch?v=zda96XrnLBg;Dr. Laurie Santos 
Hulking Out! Why You Change When Youre Angry | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=L9WZgqcu3QE;Dr. Laurie Santos 
You Only Live Once So Commit | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=BzBo6L2TNdc;Dr. Laurie Santos 
The Fun of Eating a Pepper Hotter Than the Sun | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=AG1iSpI-iGU;Dr. Laurie Santos 
Why Living Without Regret is a Bad Idea | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=6LnQM9kvDEQ;Dr. Laurie Santos 
The Handbook for Sonic Happiness | The Happiness Lab x Twenty Thousand Hertz | Dr. Laurie Santos;https://www.youtube.com/watch?v=GQlW1FuEAgA;Dr. Laurie Santos 
Move to Your Happy Place | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=3orQPMofv_M;Dr. Laurie Santos 
Nerd Out! The Happiness of Being a Fan | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=lvmF1H0B8mI;Dr. Laurie Santos 
The Secret to Making Friends as an Adult | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=CPcc7XHj_-Q;Dr. Laurie Santos 
Dial D for Distracted | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=WP4D2kPx6_M;Dr. Laurie Santos 
For Whom the Alarm Clock Tolls | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=_EoditiS3YU;Dr. Laurie Santos 
Working Your Way to Happiness | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=4ANlpKJjuz4;Dr. Laurie Santos 
Private video;https://www.youtube.com/watch?v=fkmSnw736gQ;Dr. Laurie Santos 
PJ and Alex Love to Gripe | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=M_7p9FDUF3M;Dr. Laurie Santos 
Psychopaths and Superheroes | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=1RlJw7RssN8;Dr. Laurie Santos 
Q: What Did the Pandemic Teach Us About Happiness? | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=mHQ500EN1vo;Dr. Laurie Santos 
Q: How Do I Stop Negative Self-talk? | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=o2Wp60tvXzQ;Dr. Laurie Santos 
Q: Can You Be Happy Alone? | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=fZQDxWlcVlY;Dr. Laurie Santos 
Q: Are We Born to Work? Or Born to Live? | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=dp02K4qX24U;Dr. Laurie Santos 
Malala on Burnout, Guilt and How to Disagree Better | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=faeXQ-89uCM;Dr. Laurie Santos 
Happiness Lessons of The Ancients: Epictetus | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=kXbTbaoKzKE;Dr. Laurie Santos 
Happiness Lessons of The Ancients: Plato | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=v5-xEUnBgHQ;Dr. Laurie Santos 
Happiness Lessons of The Ancients: Aristotle | The Happiness Lab | Dr. Laurie Santos;https://www.youtube.com/watch?v=Bq3qbx_OVIM;Dr. Laurie Santos 
Making the Grade | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=AeBHvSPL6bk;Dr. Laurie Santos 
Make 'Em Laugh | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=f6dnbmtB9Rs;Dr. Laurie Santos 
Choice Overload | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=Y_5Hyqd7Nt4;Dr. Laurie Santos 
Don't Accentuate the Positive | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=RoVmweJIILA;Dr. Laurie Santos 
Don't Think of a White Bear | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=8AFkztBhUiI;Dr. Laurie Santos 
Caring What You're Sharing | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=WZF3IUM1UMA;Dr. Laurie Santos 
Mistakenly Seeking Solitude | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=Oem7BYh4N7Q;Dr. Laurie Santos 
A Silver Lining | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=OcVhJM1MMiU;Dr. Laurie Santos 
The Unhappy Millionaire | The Happiness Lab Podcast | Dr. Laurie Santos;https://www.youtube.com/watch?v=i9cjGEerub0;Dr. Laurie Santos 
You Can Change | The Happiness Lab Podcast| Dr. Laurie Santos;https://www.youtube.com/watch?v=pLZ79zektgM;Dr. Laurie Santos 
Happiness Homeroom: Well-Being Strategies for High School Students;https://www.youtube.com/watch?v=XIhb5ponOtg;Dr. Laurie Santos 
Dr. Laurie Santos' 5 Favorite Coping Tips | #WithMe for World Mental Health Day;https://www.youtube.com/watch?v=kCQim9VrnDY;Dr. Laurie Santos 
Students Reflect on Popular 'Happiness' Class;https://www.youtube.com/watch?v=QiASBYvvldU;Dr. Laurie Santos 
How to Achieve True Happiness Using Science-Based Protocols | Dr. Laurie Santos;https://www.youtube.com/watch?v=Phm-Alz1Zjo;Dr. Laurie Santos 
The Science of Well-Being: Powerful Happiness Hacks That 5 Million People Are Using;https://www.youtube.com/watch?v=14-DJFPm1_4;Dr. Laurie Santos 
Laurie Santos: ON Teaching The Most Popular Class at Yale University;https://www.youtube.com/watch?v=Tei6duxihrY;Dr. Laurie Santos 
