Title;Link;Creator
Doctor reacts: asmr removal;https://www.youtube.com/watch?v=QCcGiraW5A0;FootDocDana
Why eye color is more significant than you think;https://www.youtube.com/watch?v=6E9sZkG5tew;FootDocDana
Doctor reacts to a sock lifehack;https://www.youtube.com/watch?v=FD_NeUUnLpk;FootDocDana
Doctor reacts: balloon socks;https://www.youtube.com/watch?v=x6O2Jxza3SA;FootDocDana
Doctor reacts: amputation at the gym?!;https://www.youtube.com/watch?v=MSa4KSJAe3k;FootDocDana
Could this fix a bunion?;https://www.youtube.com/watch?v=M1h1tC28mCA;FootDocDana
This might be why your feet itch!;https://www.youtube.com/watch?v=wo-21xpaZZU;FootDocDana
How NOT to treat a wound;https://www.youtube.com/watch?v=AXDDqguQipA;FootDocDana
What happened to her toes?!;https://www.youtube.com/watch?v=4fDEmI70QBc;FootDocDana
Doctor reacts: broken heels;https://www.youtube.com/watch?v=iAL6h7BlRAo;FootDocDana
Doctor reacts: what happened to her leg?!;https://www.youtube.com/watch?v=OilrU52AkoY;FootDocDana
Doctor reacts: post op surprise;https://www.youtube.com/watch?v=AhiK4MSQLOI;FootDocDana
Doctor reacts: born with 12 toes?;https://www.youtube.com/watch?v=z_VWdZBhYyA;FootDocDana
Doctor explains: fear of swallowing?;https://www.youtube.com/watch?v=U8rnvvAD7XQ;FootDocDana
This is more dangerous than it looks;https://www.youtube.com/watch?v=lolbVgZ8MZw;FootDocDana
Doctor reacts: removing an ingrown nail;https://www.youtube.com/watch?v=NmxenLvux2M;FootDocDana
How to remove a stuck ring;https://www.youtube.com/watch?v=ZPsUPBgLGNg;FootDocDana
A satisfying removal (extreme trypophobia!);https://www.youtube.com/watch?v=kV7_1q9W5UA;FootDocDana
Deleted video;https://www.youtube.com/watch?v=2Q35b6r0AQU;FootDocDana
Fake nails gone wrong;https://www.youtube.com/watch?v=95393iYNh0E;FootDocDana
Doctor reacts: popping her heel?!;https://www.youtube.com/watch?v=1CzgCnnp3OQ;FootDocDana
Doctor reacts: bizarre pedicure;https://www.youtube.com/watch?v=JUwphXiC5qw;FootDocDana
Doctor reacts: toenail removal;https://www.youtube.com/watch?v=eBWlBR9naDs;FootDocDana
Would you eat this cheese?;https://www.youtube.com/watch?v=FCKx2wJY6fw;FootDocDana
When eggs become deadly ??;https://www.youtube.com/watch?v=AnkDIouYjt0;FootDocDana
Do you have a rare foot?;https://www.youtube.com/watch?v=zniObci2ezE;FootDocDana
Why wearing jewelry is DANGEROUS in surgery;https://www.youtube.com/watch?v=apNSROMfcfo;FootDocDana
AMAZING: elephant walks again with prosthetic leg!;https://www.youtube.com/watch?v=zTIdSCjocNs;FootDocDana
The forbidden amputation;https://www.youtube.com/watch?v=dC-Bp9ynsb0;FootDocDana
Why doctors let you do this after surgery;https://www.youtube.com/watch?v=GFEWkHe3byM;FootDocDana
Doctor reacts: high heels on the stairs?;https://www.youtube.com/watch?v=kgm_sf0xioM;FootDocDana
Never fall for this trick!;https://www.youtube.com/watch?v=8DBlz6s08Do;FootDocDana
Doctor reacts: transparent eyelids?!;https://www.youtube.com/watch?v=kJ5GmQLcEKs;FootDocDana
Could this cure ingrown toenails?!;https://www.youtube.com/watch?v=Z2F9fIRf3A0;FootDocDana
Having asthma is a choice?;https://www.youtube.com/watch?v=T5MQacYByp8;FootDocDana
Why THIS is extremely dangerous;https://www.youtube.com/watch?v=_z6oyQvayAQ;FootDocDana
How to never lose your smile;https://www.youtube.com/watch?v=R5dqUoAAdFQ;FootDocDana
Do you have this rare foot type?;https://www.youtube.com/watch?v=zDn_PmLCQAY;FootDocDana
What happens when a bee stings;https://www.youtube.com/watch?v=-0qNLPCtTC4;FootDocDana
Doctor reacts: worlds sweatiest hands;https://www.youtube.com/watch?v=q8G9ocQaii0;FootDocDana
Doctor reacts: treating pain with pain?;https://www.youtube.com/watch?v=lvMX1OBbR_U;FootDocDana
How NOT to remove an ingrown toenail;https://www.youtube.com/watch?v=lv6zTgyOCn4;FootDocDana
You wont believe whats on his leg!;https://www.youtube.com/watch?v=qxiSYxzZeSE;FootDocDana
THIS is why you need new shoes;https://www.youtube.com/watch?v=fr5TpKUCmk8;FootDocDana
Why THIS is too dangerous for your kids;https://www.youtube.com/watch?v=26OpRiGeeAg;FootDocDana
Deleted video;https://www.youtube.com/watch?v=8A5Wi91UjwU;FootDocDana
Doctor reacts: rare toe condition;https://www.youtube.com/watch?v=CseX45Vme78;FootDocDana
The hidden truth about ballerina feet;https://www.youtube.com/watch?v=-qQfga_7r08;FootDocDana
Doctor reacts: AMAZING foot painting;https://www.youtube.com/watch?v=ySVmqCnQNkk;FootDocDana
Doctor reacts: foot peeling masks;https://www.youtube.com/watch?v=7V3cG804Q4w;FootDocDana
Balenciagas cybertruck shoes?!;https://www.youtube.com/watch?v=DEBOZglbi8s;FootDocDana
Removing your ingrown nails be like;https://www.youtube.com/watch?v=rg8E78BfrZo;FootDocDana
Doctor reacts: injured on the job;https://www.youtube.com/watch?v=_bSKTJ8nlzU;FootDocDana
This was hard to watch;https://www.youtube.com/watch?v=WIZ6x-cVTEY;FootDocDana
Why declawing a cat is BRUTAL @zackdfilms;https://www.youtube.com/watch?v=EVudorxz1dY;FootDocDana
Lets see if he bleeds;https://www.youtube.com/watch?v=IY5bBjLYCHc;FootDocDana
Doctor reacts: spider in her ear?!;https://www.youtube.com/watch?v=P_TFvQtA8qw;FootDocDana
How doctors treat ingrown nails;https://www.youtube.com/watch?v=GJGImkkIIgE;FootDocDana
Worlds smallest toenail;https://www.youtube.com/watch?v=k-QA1HKz6Ik;FootDocDana
Doctor reacts: intense nail removal;https://www.youtube.com/watch?v=W8NkZo2tOg4;FootDocDana
The VIRAL foot peeling mask;https://www.youtube.com/watch?v=h9vyBzXgf2c;FootDocDana
How to properly cut your toenails;https://www.youtube.com/watch?v=f6CFFqx-0ho;FootDocDana
Doctor reacts: high heels life hack!;https://www.youtube.com/watch?v=KNTmHg7Jblg;FootDocDana
Doctor reacts: genius splinter life hack!;https://www.youtube.com/watch?v=LWBkIntEqd0;FootDocDana
Whats on her finger?!;https://www.youtube.com/watch?v=iCWVe4zhokM;FootDocDana
Why THIS might be causing ingrown toenails @zackdfilms;https://www.youtube.com/watch?v=jamves83LBc;FootDocDana
Why THIS could be a sign of heart failure;https://www.youtube.com/watch?v=qo7hD-8oDl0;FootDocDana
Doctor reacts: parasites on your feet?!;https://www.youtube.com/watch?v=6DRpMmSgMU4;FootDocDana
Why THIS could save your back;https://www.youtube.com/watch?v=UoS__Q5UYIg;FootDocDana
Things you see at Wal Mart ??;https://www.youtube.com/watch?v=dgkyy5_Q6Ao;FootDocDana
Doctor reacts: airport shoes;https://www.youtube.com/watch?v=A7CglrkYaAA;FootDocDana
Doctor reacts: concrete pedicure?!;https://www.youtube.com/watch?v=bSvm6dBlN7Y;FootDocDana
Doctor reacts: 100 liters of energy drink?!;https://www.youtube.com/watch?v=mdEanH7ug74;FootDocDana
Foot doctor reacts: barefoot in disguise?;https://www.youtube.com/watch?v=eJa8apMRaZI;FootDocDana
Doctor reacts: cupping gone WRONG ??;https://www.youtube.com/watch?v=rGpWxEH_l0s;FootDocDana
Doctor reacts to toe BBL surgery;https://www.youtube.com/watch?v=TE47pNc6_Sw;FootDocDana
Removing the hidden ingrown;https://www.youtube.com/watch?v=yTYa7tVI58U;FootDocDana
How to REALLY prepare for knee surgery;https://www.youtube.com/watch?v=DmYBhP1on9U;FootDocDana
The forbidden airport shoes;https://www.youtube.com/watch?v=v0Zyt_uSk1k;FootDocDana
Doctor reacts to crushed feet!;https://www.youtube.com/watch?v=a5U3RfIy8vU;FootDocDana
Doctor reacts: broken foot dance;https://www.youtube.com/watch?v=y3HkQ9l5bJk;FootDocDana
Whats wrong with these nails?!;https://www.youtube.com/watch?v=4b5bFPdrRHg;FootDocDana
Doctor reacts: foot callus art?;https://www.youtube.com/watch?v=N59xHRhGm-k;FootDocDana
Doctor reacts: hands free origami?;https://www.youtube.com/watch?v=ZKU6R7QtmEA;FootDocDana
Doctor reacts to a layered toenail;https://www.youtube.com/watch?v=1eLp1pz49s8;FootDocDana
Doctor explains mysterious foot growth;https://www.youtube.com/watch?v=DwXmGyBaMUc;FootDocDana
Doctor reacts: pinky toe procedure;https://www.youtube.com/watch?v=_hgJm1eky_M;FootDocDana
NEVER do this with qtips!;https://www.youtube.com/watch?v=mrWzcUol1ok;FootDocDana
Doctor reacts: eating freezer frost?!;https://www.youtube.com/watch?v=0gOVjPaf6jo;FootDocDana
