Title	Link	Creator	Transcript	Status
I would do anything for my children	https://www.youtube.com/watch?v=ogVoyvFi3SE	Bryan Johnson	I had my first baby when I was 24 years old what an exciting moment that was to have this person in your life that you need you every second of the day for their own Survival and that the kind of person they going to be influenced by how you rais them I took fatherhood very seriously I was endeavoring to really be the best father and so I wonderful dad and I would do anything really for my children it was such a wonderful experience to have a child and to just lose myself in becoming a father and so I remember feeling so conflicted of wanting to give my children what they wanted to make them happy then also wanting what was in their best interest and it because you can do things so this is me trying to be a great dad in an environment that has inherent conflict on what the children are learning to do	Success
Don't Die could be the strongest 21st century movement	https://www.youtube.com/watch?v=UjvU29wtdJA	Bryan Johnson	don the words for the first time in late 2023 I never would have guessed it would catch fire this fast and be this strong I think it strongest movement of this early 21st century don played game by every human on this planet every second of every day it is the single thing that every human on this planet can agree upon but I would encourage you join this movement be part of the cause be don try to overcome your vices and bad habits try to shift their mindset from Death being inevitable to call them back to say no we actually can live a better life	Success
How I'm trying to decrease my lung age	https://www.youtube.com/watch?v=WdZ4OMkSV84	Bryan Johnson	when I got Co in November it increased my lung age by 19 years so using uh spherometer my biological age of my lungs were 26 in 2001 and then in Co happened in November of 2022 my long age went to 46 and so we hard to bring my long age back down and just recently this uh this week I tested at 36 I believe so I gained some ground back but I was and so we were trying to find ways to potentially increase my lung capacity and address the underling issues and lumber Kines is one of the things we triing to see if I can do it so this is one pill twice a day morning and night	Success
I used to be in so much pain	https://www.youtube.com/watch?v=2okQ-Q0KuVo	Bryan Johnson	this is building brain tree I think for me the the thing this image does more than anything is I had come down with a chronic depression I say come down because not sleeping with children and working very hard as an entrepreneur I just kind of cracked and depression was upon me and so when I look at this I can see Brian I can see how much pain he it moment and he just wants to die and so even though he dying	Success
Growing up Mormon, being different was really hard	https://www.youtube.com/watch?v=qDVIUKt6aZI	Bryan Johnson	yeah I was born into a rural Utah area my grandpa had a farm the community was deeply religious so everyone believe the same thing so little Brian here he doesn about to enter a situation where he told that only one reality in existence is true because we were all Mormon there was very little opportunity to be different in any horizontal way like you know you we all believe the same thing we had the same morals we had the same ethics we went to the same church we beli the same things and so to be different was really hard you had to do other things to be distinct and unique and so my friends and I we cut lines in the side of our head as a style I also got braces oh I guess I	Success
f**k it. i built the perfect meal	https://www.youtube.com/watch?v=WfGqIonL26c	Bryan Johnson	hi friends so blueprint has a product out that I because I haven to say go buy this thing because my relationship with the world over the past 3 years is giving everything away for free so 3 years ago I asked the question can we defeat death and that process included me hiring 30 medical professionals I became the most measured person in human history and I shared everything for free all the time and then it went viral and people said make it easy to do it and that that people would say things like now you you and so I line I and just say this is fantastic it probably the best thing you can buy in market and I you think I have ulterior motives that fine cool go do your thing but for those of you who trust me which you should CU I am trustworthy I think it is legitimately the best health protocol ever built it 74 Active Health therapies built upon over 1,000 clinical trials it a day a specially sourced extraversion olive oil a longevity protein and a longevity drink it takes about 3 minutes you can consume it all in one go you can separate it out when I compare compare this to what existed 3 years ago doesn and that controls we have in place like now that I how dirty stuff is you didn knew but now you know I know I alarmed if we like broccoli powder and lentils and we get these things back we get the heavy metal test back and it something else the food supply is very dirty so I would say if you can buy the entire thing and make it part of your daily protocol now again if you skeptical go back to my free version evaluate my data criticize it find a better path do you that I do want to say with in no uncertain terms that this is really worth it one of the most common responses I get is people say but that you actually it personalization I do at blueprint is pretty small there are some things which I share on my website which I based upon my individual results but these things are B based upon population level studies like for example everyone benefits from exercise everyone benefits from eating vegetables people overweight personalization and underweight population level studies and that where the majority blueprint has been is mastering the basics of sleep diet exercise and nutrition the thing that I find most compelling is I results work in me I have 3 years of data and I continually get better what compelling is there are tens of thousands of people who are doing the blueprint protocol and the effects are very similar I can circumstance where someone did blueprint and they didn meaningful way it just works and as far as I can tell for everyone now sometimes people are already in a pretty good spot so the improvements are minor sometimes people are coming from a really bad spot and the improvements are major there not this open question in my mind whether it for almost everybody so you several options one is do the blueprint stack like I do number two is don from blueprint and go look at the protocol and buy everything on your own don actually more expensive this is lower cost than what you can buy on your own three you can disbelieve me go do your own thing if you do that share your buyo markers and show us all of us that your protocol is better don your bio markers and then we going to listen to you four is leave a hateful comment I do love them just make sure it friends I love this journey we are at this special moment in time where we are evolving into a different thing what we don the basics going to bed on time exercising eating well having proper Oral Care the basics of Life the Fountain of Youth is not going to be found as some exotic thing anytime soon it basic things we do on a daily basis this is one part not all parts but get this one nail it down as a habit and then incorporate the other things too again sleep diet exercise and stop the bad habits the funny thing about being human is we are more like each other than I think we dare admit so by being good you help not just yourself but everyone around you let	Success
It takes 2.5 hours of focused dialogue to even begin to understand Don't Die	https://www.youtube.com/watch?v=Eyz5gakT2-s	Bryan Johnson	[Music] you can bir it word baby I can never tell how do you sleep so well you keep telling me to live right	Success
I put on 30 pounds in one summer	https://www.youtube.com/watch?v=04Iv5sVsdpg	Bryan Johnson	when I was 12 years old I had been really skinny and then in the summer from being 12 to 13 I remember I ate so many peanut butter and jelly sandwiches and I just thought I just can enough of these guys yes yes I ad I think I added maybe 20 to 30 lbs in one summer and this was before I went to sixth grade and so I became quite large and I didn people at school would start to call me fat and I started becoming self-conscious of my weight and I remember telling my mom this and she said Brian you husky so that was like the frame of my mind is like I high school back to when I got larger because I was bigger or as my mom would say husky I started lifting weights and few months I became the strongest kid in the school I could bench press more than anyone	Success
We can do this thing together	https://www.youtube.com/watch?v=YxmlPKO6Zk0	Bryan Johnson	if you say to somebody Live Well everyone if you say don reject that you have to revisit everything you understand about reality and that this moment I think that we are going to need to revisit everything we understand about reality because we to Super intelligence and I play a helpful role in society that can prepare all of us to get to walk into this new era with some degree of confidence that we can do this thing together	Success
I've never wanted life as badly as I do now	https://www.youtube.com/watch?v=szVt1mUz1xg	Bryan Johnson	when I say that I in my entire life I sincerely mean it I dishonest like I have been in some really bad spots in my life and I don think life has ever been better that is not to say that I don day-to-day basis with a variety of things like all of us do it is to say that I I do now as a kid you just don appreciate the situation you you become an adult it realizing how hard it is to navigate life on a regular basis and over time you kind of get beat down and so typically someone like myself who 46 I would probably be pretty beat down I might be jaded a little bit on this and that but I feel like it gone the other direction where I have this briy appreciation for existence like I	Success
